"","Año","Clave_Ent","Entidad","Tipo.de.delito","Enerosum","Eneromean","Febrerosum","Febreromean","Marzosum","Marzomean","Abrilsum","Abrilmean","Mayosum","Mayomean","Juniosum","Juniomean","Juliosum","Juliomean","Agostosum","Agostomean","Septiembresum","Septiembremean","Octubresum","Octubremean","Noviembresum","Noviembremean","Diciembresum","Diciembremean"
"1",2015,1,"Aguascalientes","Violencia familiar",29,2.63636363636364,41,3.72727272727273,26,2.36363636363636,41,3.72727272727273,35,3.18181818181818,38,3.45454545454545,37,3.36363636363636,43,3.90909090909091,50,4.54545454545455,58,5.27272727272727,43,3.90909090909091,40,3.63636363636364
"2",2015,2,"Baja California","Violencia familiar",579,115.8,628,125.6,806,161.2,734,146.8,693,138.6,834,166.8,818,163.6,840,168,882,176.4,804,160.8,674,134.8,600,120
"3",2015,3,"Baja California Sur","Violencia familiar",123,24.6,119,23.8,170,34,142,28.4,116,23.2,143,28.6,142,28.4,124,24.8,162,32.4,141,28.2,166,33.2,143,28.6
"4",2015,4,"Campeche","Violencia familiar",1,0.0909090909090909,0,0,3,0.272727272727273,1,0.0909090909090909,3,0.272727272727273,5,0.454545454545455,1,0.0909090909090909,1,0.0909090909090909,0,0,2,0.181818181818182,0,0,1,0.0909090909090909
"5",2015,5,"Coahuila de Zaragoza","Violencia familiar",147,3.86842105263158,141,3.71052631578947,136,3.57894736842105,202,5.31578947368421,171,4.5,225,5.92105263157895,229,6.02631578947368,201,5.28947368421053,213,5.60526315789474,201,5.28947368421053,122,3.21052631578947,166,4.36842105263158
"6",2015,6,"Colima","Violencia familiar",30,3,34,3.4,41,4.1,63,6.3,54,5.4,71,7.1,40,4,57,5.7,40,4,44,4.4,45,4.5,30,3
"7",2015,7,"Chiapas","Violencia familiar",60,0.508474576271186,76,0.644067796610169,81,0.686440677966102,86,0.728813559322034,87,0.73728813559322,90,0.76271186440678,84,0.711864406779661,102,0.864406779661017,181,1.53389830508475,157,1.33050847457627,130,1.10169491525424,117,0.991525423728814
"8",2015,8,"Chihuahua","Violencia familiar",723,10.7910447761194,820,12.2388059701493,921,13.7462686567164,929,13.865671641791,1134,16.9253731343284,1217,18.1641791044776,1210,18.0597014925373,1308,19.5223880597015,1190,17.7611940298507,1077,16.0746268656716,915,13.6567164179104,829,12.3731343283582
"9",2015,9,"Ciudad de México","Violencia familiar",894,52.5882352941176,1011,59.4705882352941,1229,72.2941176470588,1266,74.4705882352941,1357,79.8235294117647,1441,84.7647058823529,1543,90.7647058823529,1490,87.6470588235294,1497,88.0588235294118,1537,90.4117647058823,1457,85.7058823529412,1381,81.2352941176471
"10",2015,10,"Durango","Violencia familiar",151,3.87179487179487,155,3.97435897435897,196,5.02564102564103,243,6.23076923076923,372,9.53846153846154,404,10.3589743589744,387,9.92307692307692,427,10.9487179487179,348,8.92307692307692,384,9.84615384615385,360,9.23076923076923,94,2.41025641025641
"11",2015,11,"Guanajuato","Violencia familiar",612,13.304347826087,638,13.8695652173913,747,16.2391304347826,864,18.7826086956522,916,19.9130434782609,929,20.195652173913,936,20.3478260869565,926,20.1304347826087,994,21.6086956521739,921,20.0217391304348,922,20.0434782608696,893,19.4130434782609
